Designator,Mid X,Mid Y,Rotation,Layer
D1,158,-108.5,90,Top
D2,157.5,-35.345,90,Top
D3,157.5,-51.345,90,Top
D4,158,-70.345,90,Top
D5,157.66,-87.06,270,Top
D6,177,-34.345,90,Top
D7,175.44,-105.45,0,Top
D8,177,-89.5,90,Top
D9,177,-52.345,90,Top
D10,177,-71.845,90,Top
D12,195.48,-51.4675,90,Top
D13,196,-70.845,90,Top
D14,196,-89.345,90,Top
D15,196,-108.345,90,Top
D16,231.52,-44.44,270,Top
D17,225.46,-42.61,0,Top
D18,214.71,-51.3075,90,Top
D19,215,-71.845,90,Top
D20,214.69,-101.66,90,Top
